searge,name,side,desc
field_147365_f,floatingTickCount,2,Used to keep track of how the player is floating while gamerules should prevent that. Surpassing 80 ticks means kick
field_147367_d,serverController,2,
field_147368_e,networkTickCount,2,
field_147369_b,playerEntity,2,
field_147370_c,logger,2,
field_147371_a,netManager,2,
field_147373_o,lastPosX,2,
field_147374_l,chatSpamThresholdCount,2,"Incremented by 20 each time a user sends a chat message, decreased by one every tick. Non-ops kicked when over 200"
field_147380_r,hasMoved,2,
field_147381_q,lastPosZ,2,
field_147382_p,lastPosY,2,
field_147396_a,logger,2,
field_147415_a,logger,2,
field_147417_b,logger,2,
field_147433_r,parabolicField,2,
field_147436_a,logger,2,
field_147491_a,logger,2,
field_147552_d,staticPlayerZ,2,
field_147554_b,staticPlayerX,2,
field_147555_c,staticPlayerY,2,
field_147556_a,instance,2,
field_147559_m,mapSpecialRenderers,2,
field_147566_d,floatBuffer,2,"The same memory as byteBuffer, but referenced as an float buffer."
field_147567_e,shortBuffer,2,"The same memory as byteBuffer, but referenced as an short buffer."
field_147568_c,intBuffer,2,"The same memory as byteBuffer, but referenced as an integer buffer."
field_147569_p,rawBufferIndex,2,The index into the raw buffer to be used for the next data.
field_147577_f,hasNormals,2,
field_147578_g,hasColor,2,
field_147579_d,hasTexture,2,
field_147580_e,hasBrightness,2,
field_147581_b,rawBufferIndex,2,
field_147582_c,vertexCount,2,
field_147583_a,rawBuffer,2,
field_147592_B,renderBlocksRg,2,
field_147593_P,mapSoundPositions,2,
field_147594_S,displayListEntities,2,
field_147595_R,displayListEntitiesDirty,2,
field_147596_f,prevRenderSortX,2,
field_147597_g,prevRenderSortY,2,
field_147598_a,tileEntities,2,
field_147599_m,logger,2,
field_147600_j,prevChunkSortY,2,
field_147601_k,prevChunkSortZ,2,
field_147602_h,prevRenderSortZ,2,
field_147603_i,prevChunkSortX,2,
field_147616_f,framebufferObject,2,
field_147617_g,framebufferTexture,2,
field_147618_d,framebufferHeight,2,
field_147619_e,useDepth,2,
field_147620_b,framebufferTextureHeight,2,
field_147621_c,framebufferWidth,2,
field_147622_a,framebufferTextureWidth,2,
field_147623_j,framebufferFilter,2,
field_147624_h,depthBuffer,2,
field_147625_i,framebufferColor,2,
field_147635_d,logger,2,
field_147638_c,logger,2,
field_147639_c,logger,2,
field_147644_c,logger,2,
field_147646_a,logger,2,
field_147648_b,logger,2,
field_147698_b,logger,2,
field_147707_d,shaderGroup,2,
field_147708_e,shaderCount,2,
field_147709_v,mapItemRenderer,2,
field_147710_q,logger,2,
field_147711_ac,resourceManager,2,
field_147712_ad,shaderResourceLocations,2,
field_147713_ae,shaderIndex,2,
field_147719_a,instance,2,
field_147720_h,renderBlocksIr,2,
field_147810_D,aoLightValueScratchXYPN,2,
field_147811_E,aoLightValueScratchXYZPNP,2,
field_147812_F,aoLightValueScratchXYZNPN,2,
field_147813_G,aoLightValueScratchXYNP,2,
field_147814_A,aoLightValueScratchYZNN,2,
field_147815_B,aoLightValueScratchYZNP,2,
field_147816_C,aoLightValueScratchXYZPNN,2,
field_147817_L,aoLightValueScratchYZPP,2,
field_147818_M,aoLightValueScratchXYZPPP,2,
field_147819_N,aoLightValueScratchXZNN,2,
field_147820_O,aoLightValueScratchXZPN,2,
field_147821_H,aoLightValueScratchXYZNPP,2,
field_147822_I,aoLightValueScratchYZPN,2,
field_147823_J,aoLightValueScratchXYZPPN,2,
field_147824_K,aoLightValueScratchXYPP,2,
field_147825_U,aoBrightnessYZNN,2,
field_147826_T,aoBrightnessXYZNNP,2,
field_147827_W,aoBrightnessXYZPNN,2,
field_147828_V,aoBrightnessYZNP,2,
field_147829_Q,aoLightValueScratchXZPP,2,
field_147830_P,aoLightValueScratchXZNP,2,
field_147831_S,aoBrightnessXYNN,2,
field_147832_R,aoBrightnessXYZNNN,2,
field_147833_aA,colorBlueTopRight,2,
field_147834_Y,aoBrightnessXYZPNP,2,
field_147835_X,aoBrightnessXYPN,2,
field_147836_Z,aoBrightnessXYZNPN,2,
field_147837_f,renderAllFaces,2,
field_147838_g,renderFromInside,2,
field_147839_az,colorBlueBottomRight,2,
field_147840_d,overrideBlockTexture,2,
field_147841_ay,colorBlueBottomLeft,2,
field_147842_e,flipTexture,2,Set to true if the texture should be flipped horizontally during render*Face
field_147843_b,fancyGrass,2,
field_147844_c,useInventoryTint,2,
field_147845_a,blockAccess,2,The IBlockAccess used by this instance of RenderBlocks
field_147846_at,colorGreenTopLeft,2,
field_147847_n,lockBlockBounds,2,
field_147848_as,colorRedTopRight,2,
field_147849_o,partialRenderBounds,2,
field_147850_ar,colorRedBottomRight,2,
field_147851_l,renderMinZ,2,The minimum Z value for rendering (default 0.0).
field_147852_aq,colorRedBottomLeft,2,
field_147853_m,renderMaxZ,2,The maximum Z value for rendering (default 1.0).
field_147854_ax,colorBlueTopLeft,2,
field_147855_j,renderMinY,2,The minimum Y value for rendering (default 0.0).
field_147856_aw,colorGreenTopRight,2,
field_147857_k,renderMaxY,2,The maximum Y value for rendering (default 1.0).
field_147858_av,colorGreenBottomRight,2,
field_147859_h,renderMinX,2,The minimum X value for rendering (default 0.0).
field_147860_au,colorGreenBottomLeft,2,
field_147861_i,renderMaxX,2,The maximum X value for rendering (default 1.0).
field_147862_ak,aoBrightnessXZPP,2,
field_147863_w,enableAO,2,
field_147864_al,brightnessTopLeft,2,
field_147865_v,uvRotateBottom,2,
field_147866_ai,aoBrightnessXZPN,2,
field_147867_u,uvRotateTop,2,
field_147868_aj,aoBrightnessXZNP,2,
field_147869_t,uvRotateNorth,2,
field_147870_ao,brightnessTopRight,2,
field_147871_s,uvRotateSouth,2,
field_147872_ap,colorRedTopLeft,2,
field_147873_r,uvRotateWest,2,
field_147874_am,brightnessBottomLeft,2,
field_147875_q,uvRotateEast,2,
field_147876_an,brightnessBottomRight,2,
field_147877_p,minecraftRB,2,
field_147878_ac,aoBrightnessYZPN,2,
field_147879_ad,aoBrightnessXYZPPN,2,
field_147880_aa,aoBrightnessXYNP,2,
field_147881_ab,aoBrightnessXYZNPP,2,
field_147882_ag,aoBrightnessXYZPPP,2,
field_147883_ah,aoBrightnessXZNN,2,
field_147884_z,aoLightValueScratchXYZNNP,2,
field_147885_ae,aoBrightnessXYPP,2,
field_147886_y,aoLightValueScratchXYNN,2,
field_147887_af,aoBrightnessYZPP,2,
field_147888_x,aoLightValueScratchXYZNNN,2,
field_147893_C,tileEntities,2,
field_147894_y,vertexState,2,
field_147895_x,tileEntityRenderers,2,
field_147923_a,logger,2,
field_147959_c,logger,2,
field_147967_a,logger,2,
field_147968_d,mipmapLevelHolder,2,
field_147971_a,mipmapLevelStitcher,2,
field_148001_b,defaultShaderUniform,2,
field_148002_c,staticShaderManager,2,
field_148003_a,logger,2,
field_148029_f,listFramebuffers,2,
field_148030_g,projectionMatrix,2,
field_148031_d,listShaders,2,
field_148032_e,mapFramebuffers,2,
field_148033_b,resourceManager,2,
field_148034_c,shaderGroupName,2,
field_148035_a,mainFramebuffer,2,
field_148038_h,mainFramebufferWidth,2,
field_148039_i,mainFramebufferHeight,2,
field_148046_f,listAuxWidths,2,
field_148047_g,listAuxHeights,2,
field_148048_d,listAuxFramebuffers,2,
field_148049_e,listAuxNames,2,
field_148050_b,framebufferOut,2,
field_148051_c,manager,2,
field_148052_a,framebufferIn,2,
field_148053_h,projectionMatrix,2,
field_148079_b,staticShaderLinkHelper,2,
field_148080_a,logger,2,
field_148104_a,logger,2,
field_148257_b,playerID,2,
field_148258_c,token,2,
field_148261_a,logger,2,
field_148270_M,valueStep,2,
field_148271_N,valueMin,2,
field_148272_O,valueMax,2,
field_148304_a,logger,2,
field_148322_c,logger,2,
field_148326_f,logger,2,
field_148336_b,rand,2,
field_148337_c,namePartsArray,2,
field_148338_a,instance,2,
field_148438_c,logger,2,
field_148490_a,logger,2,
field_148510_a,logger,2,
field_148546_d,logger,2,
field_148550_b,logger,2,
field_148621_b,logger,2,
field_148657_b,logger,2,
field_148743_a,logger,2,
field_148759_a,underlyingIntegerMap,2,The backing store that maps Integers to objects.
field_148797_a,backupList,2,
field_148823_f,framebufferSupported,2,
field_148824_g,shadersSupported,2,
field_148825_d,anisotropicFilteringSupported,2,
field_148826_e,anisotropicFilteringMax,2,
field_148827_a,openGL21,2,
field_148828_i,openGL14,2,
field_148841_a,logger,2,
field_148927_a,logger,2,
field_149758_A,isBlockContainer,2,true if the Block contains a Tile Entity
field_149761_L,blockIcon,2,
field_149762_H,stepSound,2,Sound of stepping on the block
field_149763_I,blockParticleGravity,2,
field_149764_J,blockMaterial,2,
field_149765_K,slipperiness,2,Determines how much velocity is maintained while moving on top of this block
field_149766_f,soundTypeWood,2,the wood sound type
field_149767_g,soundTypeGravel,2,the gravel sound type
field_149768_d,textureName,2,
field_149769_e,soundTypeStone,2,
field_149770_b,unlocalizedNameBlock,2,
field_149771_c,blockRegistry,2,
field_149772_a,displayOnCreativeTab,2,
field_149773_n,soundTypeSnow,2,
field_149774_o,soundTypeLadder,2,The ladder sound type
field_149775_l,soundTypeCloth,2,Sound for cloth and carpets
field_149777_j,soundTypeMetal,2,The metal sound type
field_149778_k,soundTypeGlass,2,Glass footsteps
field_149779_h,soundTypeGrass,2,
field_149780_i,soundTypePiston,2,The piston step sound
field_149781_w,blockResistance,2,
field_149782_v,blockHardness,2,Indicates how many hits it takes to break a block.
field_149784_t,lightValue,2,Amount of light emitted
field_149785_s,canBlockGrass,2,
field_149786_r,lightOpacity,2,How much light is subtracted for going through this block
field_149787_q,opaque,2,
field_149788_p,soundTypeAnvil,2,The anvil sound type
field_149789_z,needsRandomTick,2,Flags whether or not this block is of a type that needs random ticking. Ref-counted by ExtendedBlockStorage in order to broadly cull a chunk from the random chunk update list for efficiency's sake.
field_149790_y,enableStats,2,
field_149943_a,dispenseBehaviorRegistry,2,
field_149992_a,logger,2,
field_150243_f,strikethrough,2,
field_150244_g,obfuscated,2,
field_150245_d,italic,2,
field_150246_e,underlined,2,
field_150247_b,color,2,
field_150248_c,bold,2,
field_150249_a,parentStyle,2,The parent of this ChatStyle.  Used for looking up values that this instance does not override.
field_150250_j,rootStyle,2,The base of the ChatStyle hierarchy.  All ChatStyle instances are implicitly children of this.
field_150251_h,chatClickEvent,2,
field_150252_i,chatHoverEvent,2,
field_150263_b,style,2,
field_150264_a,siblings,2,"The later siblings of this component.  If this component turns the text bold, that will apply to all the siblings until a later sibling turns the text something else."
field_150267_b,text,2,
field_150274_f,syncLock,2,
field_150275_g,lastTranslationUpdateTimeInMilliseconds,2,
field_150276_d,key,2,
field_150277_e,formatArgs,2,
field_150278_b,children,2,"The discrete elements that make up this component.  For example, this would be [""Prefix, "", ""FirstArg"", ""SecondArg"", "" again "", ""SecondArg"", "" and "", ""FirstArg"", "" lastly "", ""ThirdArg"", "" and also "", ""FirstArg"", "" again!""] for ""translation.test.complex"" (see en-US.lang)"
field_150279_c,stringVariablePattern,2,
field_150301_b,logger,2,
field_150317_a,logger,2,
field_150318_D,golden_rail,2,
field_150319_E,detector_rail,2,
field_150320_F,sticky_piston,2,
field_150321_G,web,2,
field_150322_A,sandstone,2,
field_150323_B,noteblock,2,
field_150324_C,bed,2,
field_150325_L,wool,2,
field_150326_M,piston_extension,2,
